name,address,class,longitude,latitude
Squisito Restaurant,"1, Jewel Tower Koregaon Park, Lane No. 5, Pune, Maharashtra 411001",Restaurants,73.8974095,18.5364166
Shakahari,"Senapati Bapat Road, Shivajinagar, Pune, Maharashtra 411053",Restaurants,73.8297532,18.5324697
Prego,"84/36, N Main Rd, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411001",Restaurants,73.906129,18.5394567
Arthur's Theme,"Shop No 25, Panchshil Business Park, High Street, Balewadi Baner Link Road, Balewadi, Pune, Maharashtra 411045",Restaurants,73.773929,18.570441
George Restaurant,"No 2436, General Thimayya Road, East Street, Opposite Arora Tower, Camp, Pune, Maharashtra 411001",Restaurants,73.8793036,18.5174165
Radhika Restaurant,"Shop No. 4, Udit Apartment, DP Road, Sangvinagar, Aundh, Pune, Maharashtra 411007",Restaurants,73.8100628,18.5604123
Zion Restaurants,"Town Square Shopping Center, New Airport Road, Above Dorabjee, 5th Floor, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9077107,18.5685263
Masemari Restaurant,"2132, Trimurti Complex, Parvati Road, Off Tilak Road, Vijayanagar Colony, Sadashiv Peth, Pune, Maharashtra 411030",Restaurants,73.852174,18.50564
Atmosphere 6,"Sky Max Mall, Viman Nagar Road, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9137364,18.5655422
Mauli Veg Restaurant,"Sr.No,8 Near Poonam Petrol Pump, Mangdewadi, Katraj, Pune, Maharashtra 411046",Restaurants,73.8573202,18.4299264
Asanjo,"5, Stellar Enclave, Opp. Reliance Mall, Aundh, Police Workshop Rd, New Somwar Peth, Ward No. 8, Aundh Gaon, Aundh, Pune, Maharashtra 411007",Restaurants,73.80764,18.5628399
Rajdhani Snacks Center,"Rajdhani Complex, Satara Rd, KK Market, Mangawadi, Pune, Maharashtra 411043",Restaurants,73.857367,18.470988
Mirch Masala Resto and Bar,"Lane Number 20, Suvarnabaug Colony, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038",Restaurants,73.8139495,18.4935205
Farm Ville Garden Restaraunt,"Kirti Garden, Sus Road, Pashan, Behind Nissan Showroom, Pune, Maharashtra 411021",Restaurants,73.769412,18.544587
Jashn,"Salunke Vihar Road, Clover Village, Wanowrie, Pune, Maharashtra 411040",Restaurants,73.89578,18.4821063
Gokul Chinese Restaurant,"Sadashiv Peth, Khajina Vihir Chowk, Near SP College, Pune, Maharashtra 411030",Restaurants,73.8507387,18.5081582
Sumitra Pure Veg Restaurant,"154, Ramdhoot Vihar, Karve Road, Near Maruti Mandir, Pune, Maharashtra 411029",Restaurants,73.8138389,18.4972289
Texas Tower,"9th Floor, Stellar Spaces, Opp. Zensar IT Park, Kharadi South Main Road, Kharadi, Pune, Maharashtra 411014",Restaurants,73.9412472,18.55002
Dakshina Restaurant,"4th Floor, Sr. No 33/2/2/1+2, Opulent House, Opposite Shivneri Society, Baner, Pune, Maharashtra 411045",Restaurants,73.7758819,18.5581942
Nh37 Dhaba,"Range Hill Corner, Ganesh Khind Road, Near East Square, Ashok Nagar, Pune, Maharashtra 411005",Restaurants,73.834484,18.538669
Thai House,"Shop No 1&2, Raviraj Heritage, Near Pune It Park, Bhau Patil Road,, Bopodi, Pune, Maharashtra 410020",Restaurants,73.832025,18.5688089
In Green Hotel Pune,"Third Floor, Kumar Pacific Mall, Shankar Sheth Road, Swargate, Pune, Maharashtra 411037",Restaurants,73.8724703,18.5009139
Shorba Family Restaurant,"Sr. No 35-39/1, 2A, Amrut Ganga, Sinhagad Rd, Manik Baug, Pune, Maharashtra 411051",Restaurants,73.8240511,18.4705948
"Reddy's Restaurant, Kalyani Nagar","Hissa 2/1, Plot 70/13, Opposite Gold's Gym, Vithalrao Vandekar Road, Kalyani Nagar, Pune, Maharashtra 411006",Restaurants,73.898997,18.543713
Zamus Place,"Shop No. 1&2, Nirmal Apartment, Dhole Patil Road, Pune, Maharashtra 411001",Restaurants,73.875815,18.5367
Hotel Sneha,"759 / 60, Prabhat Rd, Deccan Gymkhana, Pune, Maharashtra 411004",Restaurants,73.840393,18.514106
A B C Farms Pvt Ltd,"S. No. 35/, 36, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.904975,18.539421
Fortune Inn Jukaso - Restaurants in Pune,"Plot No. 6, Viman Nagar, Pune Nagar Road, Pune, Maharashtra 411014",Restaurants,73.918708,18.566593
Kimchi,"Sambhaji Nagar, Opp. Hyundai Showroom, Kharadi Road, Pune, Maharashtra 411014",Restaurants,73.935983,18.5468495
